Key	Content	Handle
LLLICH_Override_TagRequirement		h67e90c1eg8eefg4313ga2efg34d42f163756
LLLICH_Override_RotDamage1	shadow Damage	h256557fbg1d49g45d9g8690gb86b39d2a135
LLLICH_Override_RotDamage2	shadow	h168f52b6g342ag42e0g99d0g47d94b7363c8
LLLICH_Override_RotDamage3	Shadow	hf4632a8fg42a7g4d53gbe26gd203f28e3d5e
LLLICH_Override_CorrosiveDamage1	[1] Corrosive	h4b681e66gd563g43abg892fg376ffaa37132
LLLICH_Override_CorrosiveDamage2	Corrosive	hcbe11fb4g22adg4b10g938bg467f8c41107c
LLLICH_Override_CorrosiveDamage3	corrosive damage	h161d5479g06d6g408egade2g37a203e3361f
LLLICH_Override_MagicDamage1	[1] Magic	h7656635fg959dg4396ga8bfgfc35e70f828f
LLLICH_Override_MagicDamage2	Magic	hd01e5f46g36d4g48f5g8550gabdc4bef1f04
LLLICH_Override_MagicDamage3	magic damage	hdb4307b4g1a6fg4c05g9602g6a4a6e7a29d9
LLLICH_Override_ExplodeTooltip	Applies additional effects on hit	h899607bagd698g474bg9ae1g92742a70cf36
LLLICH_Override_StatusApplySet	[1][2][3]	h233bf83cg2204g4f14gb46agad27f95deb43
LLLICH_Override_StatusApplyTurnsSet	Set [1] for [4] turn(s) [2][3]	hf90daa3cgba5cg471cgbebcgedb58a337a9f
LLLICH_Override_StatusApplyChance	([1]% Chance)	h54e0b91cg48a7g4d5agaedcgbde756a109ea
LLLICH_Override_FumbleText		ha0eca831g2e16g463fgb80fg09f33092c2ee
LLLICH_Override_Charges1	Charges Depleted	hd5f94f7eg6557g45cdg835ege011e66a3a3a
LLLICH_Override_Charges2	Charges Depleted	hf0293ca3g9022g4181gb4beg5f614e846c69
LLLICH_Override_Charges3	Charges Depleted	h89dbdaf9g61bdg4246g82fag8e432a286751
LLLICH_Override_NumberOfUses	Charges	h7da39b62gdaedg4565gbe58gc2e702a725ee
