Key	Content	Handle
Stats_LLLICH_ChillForm	Death's Embrace	h724b4423g5c4ag4021g9e0cgd979dc4e8bbf
Stats_LLLICH_ChillForm_AuraAlly	Death's Embrace (Ally)	h12edf72eg59bcg46bdg8a88gb6906cd64d66
Stats_LLLICH_ChillForm_SpeedBoost	Frozen Celerity	h2036da3bgad7dg42cag8dddgf2e3fb287941
Stats_LLLICH_DrainSoul_AccuracyBoost	Drain Soul	h93fd6e0ag006cg4c96g8e04g3d634386a3fd
Stats_LLLICH_Dread	Dread	h495c0157g5f59g414eg837bgcfc2fc8fcc18
Stats_LLLICH_FleshSacrifice_Buff	Blood Sacrifice	h68917b84ga66ag4dffgb1f2g55666f362cad
Stats_LLLICH_FleshSacrifice_Debuff	Sacrificed	h6c917da8gd3d4g478cg8442g2abd705525f8
Stats_LLLICH_LichForm	Lich Form	h8c17b7b9g5450g4062gb695gf3dd538a6f4d
Stats_LLLICH_LichForm_Penalty_A	Fire Vulnerability (Lich)	h2be92a72g30d9g42ffg98edg6dfe806f7891
Stats_LLLICH_LichForm_Penalty_B	Fire Vulnerability (Lich)	h9cf4f2f2g7db6g4e7eg9603g4a38e9794096
Stats_LLLICH_LichForm_ScaledBonuses	Lich Form	hd4114c0agcd5eg4071ga3a5g90aca47bbdd0
Stats_LLLICH_Paralyze	Paralyzed	h5ee5606eg255cg4e26g9652g69b4fd3e228f
Stats_LLLICH_PhylacteryActive	Phylactery	h75d3d108g1749g435ag95fdg2b7fe2221129
Stats_LLLICH_Recovering	Regenerating	he7300c98g4087g498dg8a7fgceb26d15ed3d
