Key	Content	Handle
Cone_LLLICH_Chillbreath_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Breathe chilling wind in a cone, dealing [1] damage to all non-allied characters and freezing the ground.<br><font color='#CFECFF' size='19'>If the target is Chilled/Wet, apply Frozen for 1 turn.</font><br><font color='#97FBFF' size='19'>Otherwise, apply Chilled for 2 turns.</font>	h297d7dc9g1173g4b74gaa79g77c0d508ab73
Cone_LLLICH_Chillbreath_DisplayName	<font color='#73F6FF'>Winter's Breath</font>	h18512a86g45efg4b94g8a65g33e788de0d1e
Projectile_LLLICH_LichStaffMagic_Description	Launch a soul-infused missile from your staff that deals [1] and marks the target for death.<br>If the target dies while marked, their soul explodes for [2] within a [3] radius.	h7a5d9707g3e3dg44f3g9b30g2fdfd64c2087
Projectile_LLLICH_LichStaffMagic_DisplayName	<font color='#D040D0'>Wicked Missile</font>	hc05d724bgda1cg40c3ga68cg8ae84a0b0c75
Shout_LLLICH_BloodBurst_Description	<font color='#ff5252' size='18'>Hemomancy</font><br>Call forth the blood of beings within [1], causing it to burst.<br>Living targets create a <font color='#CD1F1F'>small pool of blood</font>, while <font color='#00AA00'>the undead spill poison</font>.	hd8320032ga166g4c6aga025gb605a2fd1847
Shout_LLLICH_BloodBurst_DisplayName	Blood Burst	h9dde5756g77d6g429fga76fg5791037608a4
Shout_LLLICH_ChillForm_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Exude a chilling aura of death for 3 turns, gaining <font color='#5e85f6'>[1]% Water Resistance</font>, <font color='#C7A758'>Immunity to Slipping and Burning</font>, and <font color='#a6bdff'>[2]% increased speed on ice</font>.<br><font color='#73F6FF'>At the end of your turn, allies within [3] who are <font color='#FE6E27'>Burning</font> or <font color='#FF9600'>Warm</font> are cooled down, enemies within [3] are <font color='#4197E2'>Chilled</font>, and <font color='#c2d3ff'>Frozen</font> enemies take [4], healing you for the damage dealt.</font>	hb48af784g4057g40e5g8416gac73d17aa029
Shout_LLLICH_ChillForm_DisplayName	<font color='#73F6FF'>Death's Embrace</font>	h809ad58fgebccg4e37g99e9ge7c4c45436eb
Shout_LLLICH_CreatePhylactery_Description	<font color='#73F6FF' size='18'>Phylactery Power</font><br>Store your soul in a Phylactery, granting immortality as long as it is not destroyed.<br><font color='#FF0000'>Only one Phylactery per Lich can exist at a time.</font><br><font color='#FFAB00'>Upon nearly dying, you will be teleported to your Phylactery to regenerate. If the Phylactery is in your inventory, you will regenerate at the location of your 'death'.</font>	h3e79be6agee02g45ccgb85agadfa56a8b1bf
Shout_LLLICH_CreatePhylactery_DisplayName	<font color='#73F6FF'>Create Phylactery</font>	h45adfc3bg8ab3g48f8gb91cg55df774d19e6
Shout_LLLICH_DreadShout_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Let loose a dreadful shout, lowering the primary attributes of enemies within a [1] radius for 3 turns.<br><font color='#FF001F' size='20'>On death, nearby characters with Dread have a:</font><br><font color='#188EDE' size='19'>50% chance to become Feared<br>25% chance to become Mad</font>	hde4370e3g503dg4a79g8767gd106fa0592f6
Shout_LLLICH_DreadShout_DisplayName	<font color='#73F6FF'>Dreadwave</font>	h5363565bg7605g4a10gac41g5ffdcf633da8
Shout_LLLICH_Recall_Description	<font color='#73F6FF' size='18'>Phylactery Power</font><br>Teleport to your Phylactery.<br><font color='#FF0000'>If your phylactery is in possession of an opposing player (not in your party), teleportation will be blocked.</font>	h38a5df20g7f5ag4b67gaea4gd32bd4638264
Shout_LLLICH_Recall_DisplayName	<font color='#73F6FF'>Return to Phylactery</font>	h7ac8e6a3g55beg4de0g83a8g8c0961190c53
Target_LLLICH_ChillTouch_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Place your chilling hand on the target, dealing [1].<br><font color='#CFECFF' size='19'>If the target is Wet/Chilled, apply Frozen for 1 turn.</font><br><font color='#97FBFF' size='19'>If the target is not Wet/Chilled/Frozen, apply Chilled for 2 turns.</font><br><font color='#D7001F' size='19'>If the target is Frozen, deal [2].</font>	h08292830geebbg4f0fgbfdage7eef4d75afb
Target_LLLICH_ChillTouch_DisplayName	<font color='#73F6FF'>Chilling Touch</font>	h4f1beb75g197fg4eccgb269g594feab47058
Target_LLLICH_DrainSoul_Description	<font color='#73F6FF' size='18'>Phylactery Power</font><br>Drain the soul of an enemy, dealing [1].<br><font color='#d31212' size='23'>If this skill kills the target:</font><br><font size='20'><font color='#D040D0'>Restore 1 Power to your Phylactery.</font><br><font color='#46B195'>Gain 1 Source Point.</font><br><font color='#73F6FF'>If at max Source Points, create an explosion of source, dealing [2] to enemies in a [3] radius.</font></font><br><font color='#11D77A' size='18'>Shadow Damage bypasses armor and cannot be resisted.</font>	hc62a08aegf18fg4543gb12bgd10a44279474
Target_LLLICH_DrainSoul_DisplayName	<font color='#73F6FF'>Drain Soul</font>	hf029502cg39e1g4ac3g8322g34397fca3fe6
Target_LLLICH_FleshSacrifice_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Sacrifice the blood of a non-undead target character, receiving <font color='#00FF00'>1 AP</font> and a <font color='#B823CB'>[1]% damage boost</font>, while reducing the target's Constitution by [2].	h58527d0egc695g4794gb3eeg7eb5aee70ac5
Target_LLLICH_FleshSacrifice_DisplayName	<font color='#73F6FF'>Blood Sacrifice</font>	hc32d7b61g207cg4c2agb40ag7637438bf4f8
Target_LLLICH_ParalyzingTouch_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>Deal [1] damage to a target character, paralyzing them for 1 turn.<br><font color='#7D71D9' size='19'>If the target does not have Magic Armor, apply Stunned.</font><br><font color='#A8A8A8' size='19'>Otherwise, if the target does not have Physical Armor, apply Knocked Down.</font>	he41e4285g31ccg445fg93feg59a7185b09aa
Target_LLLICH_ParalyzingTouch_DisplayName	<font color='#73F6FF'>Paralyzing Touch</font>	h8e724ccag7f32g4ce5ga784g3e9129cbb8bb
Target_LLLICH_DominateUndead_DisplayName	<font color='#73F6FF'>Dominate Undead</font>	hb65ba3b1gc12bg4a00g9774g0722139a3b36
Target_LLLICH_DominateUndead_Description	<font color='#73F6FF' size='18'>Lich Form</font><br>You have a level of control over the Undead, allowing you to turn them to your side for [1] turn(s).<br><font color='#CCFF00'>Undead with an Intelligence higher than [1] have a chance to resist the effect, while Undead with an Intelligence of [2] or higher are <font color='#FF3300'>immune to mental control</font>.</font>	h0742bdd2g3877g4347gabe4g48646d11d5e7
