Key	Content	Handle
LLLICH_CHILLFORM_AURA_ALLY_DisplayName	Cooling (Death's Embrace)	h6078090dg0856g42c5g9a34g89810f0c1196
LLLICH_CHILLFORM_Description	Character has an icey aura of death.<br><font color='#b8caff'>When turn ends, remove <font color='#FE6E27'>Burning</font> and <font color='#FF9600'>Warm</font> from allies, apply <font color='#4197E2'>Chilled</font> to enemies, and <font color='#97FBFF'>leach health from Frozen enemies.</font></font>	haf04e6aagdb51g4a57gb2c7g5bc5b4541400
LLLICH_CHILLFORM_DisplayName	Death's Embrace	h080b267bg014cg4f37g9e37ga44a33d3bcd8
LLLICH_CHILLFORM_LIFESTEAL_DisplayName	Drain Frozen	he308201cg093cg49efg892fg41677d2a9080
LLLICH_CHILLFORM_SPEEDBOOST_Description	Character moves faster on ice.	h2d1484b1gd473g4579g8d46gbb8b1724cb6b
LLLICH_CHILLFORM_SPEEDBOOST_DisplayName	Frozen Celerity	hdadd6959g632cg4130g90ccga405b4583bed
LLLICH_CREATE_PHYLACTORY_DisplayName	Phylactery Creation	h136226e9g9818g4ddbgbc8cg44a8fbf4188c
LLLICH_DEATH_MARK_Description	If killed, character's soul will erupt, dealing damage within a 3m range.<br><font color='#B823CB'>Only targets enemies of the source of this status.</font>	ha6b3b5a8gba37g4768g8368g270a75197dff
LLLICH_DEATH_MARK_DisplayName	Death Mark	ha1d8e9d8gdcf8g417bg80d2g447654676d4c
LLLICH_DREAD_Description	Character is full of dread.<br>If killed, may spread Fear or Madness to other characters with Dread.	hac5d6d00g4710g4449gafa8g7bf0a4008439
LLLICH_DREAD_DisplayName	Dread	ha1d75676gb206g4ef9ga545gf616514baede
LLLICH_FLESH_SACRIFICE_DEBUFF_Description	Character's blood has been sacrificed.	h5a93cd43g9a7bg42a0g9ab4g1d09b953fe74
LLLICH_FLESH_SACRIFICE_DEBUFF_DisplayName	Sacrificed	h360b314bg0889g4c03g9b83g0f72fe98da7e
LLLICH_FLESH_SACRIFICE_Description	Character has sacrificed the blood of a living being.	h40e3a44dg3905g4608gb160g9705e6e3bf07
LLLICH_FLESH_SACRIFICE_DisplayName	Blood Sacrifice	h12585ab2g9560g4098g9a2dg0afc3bf89a40
LLLICH_LICHFORM_Description	Character is an immortal, undead sorcerer.<br><font color='#C7A758'>Immunity to Bleeding & Suffocating</font><br><font color='#C7A758'>Chance to Resist Fear & Stunned</font><br><font color='#B823CB'>Lich Powers Unlocked</font>	h0c95431eg86feg4f1dgb36fg14d1ce8ae4bd
LLLICH_LICHFORM_DisplayName	Lich Form	h6accd377g3a3cg43bbgbb84gc802c8af6bc9
LLLICH_PARALYZE_DisplayName	Stunned or Knocked Down	h29b611a5g99c5g4196g80b0gf9befb3bc426
LLLICH_PHYLACTERY_ACTIVE_Description	Character is immortal through the power of a Phylactery.<br><font color='#73F6FF' size='19'>Phylactery Powers Unlocked</font>	hb319c9f2g5e5eg46cbga40cga825ea7f7811
LLLICH_PHYLACTERY_ACTIVE_DisplayName	Undying	h3599bc05gfe78g4e12gad7fgad59a6e282e1
LLLICH_RECOVERING_ACTIVE_Description	Character is slowly regenerating through the power of a Phylactery.	h0d0fb632g57cag4656g9a4fgeaef48c7fdf0
LLLICH_RECOVERING_ACTIVE_DisplayName	Regenerating	h6c7902b2gca05g430dga6dcg22d837712b78
LLLICH_TRY_DOMINATE_DisplayName	Dominate Undead	h1517e286g2c8eg4642ga1a6g6049cf8a1700
LLLICH_DOMINATED_DisplayName	Dominated	h3d54d894g16a1g46f6g931agaa7f0a91574b
LLLICH_DOMINATED_Description	Character is being controlled through psychic domination.<br><font color='#CD1FFF'>Automatically cleansed if the source of domination is disabled or dies.</font>	h92c719abge5c0g4101g8f04g10b7da3b6bb8
LLLICH_TWINSKULLS_ENERGY_DisplayName	Spell Enhancement	he1ab135eg9768g49f6g99e5g4d99df2f9fe2
LLLICH_TWINSKULLS_ENERGY_Description	Character is gathering spell energy.	hf64a206fg61c8g4ac5ga8cbgef46d51b9c8e
