new entry "Shout_LLLICH_BloodBurst"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Death"
data "Tier" "Starter"
data "ActionPoints" "1"
data "Cooldown" "4"
data "SkillProperties" "Bloodify;IF(!Undead):TargetCreateSurface,1,,Blood,100;IF(Undead):TargetCreateSurface,1,,Poison,100"
data "AreaRadius" "8"
data "AddWeaponRange" "No"
data "MemorizationRequirements" "Necromancy 1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetConditions" "Character"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Decay_BloodBubble"
data "DisplayName" "Shout_LLLICH_BloodBurst_DisplayName"
data "Description" "Shout_LLLICH_BloodBurst_Description"
data "DisplayNameRef" "Blood Burst"
data "DescriptionRef" "Cause characters within a [1] radius to spill blood.<br>Non-Undead create blood surfaces, while Undead characters create a poison surface."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Voodoo_Prepare_Water_Blood_Root_01;RS3_FX_Skills_Voodoo_Prepare_Water_Blood_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Voodoo_Prepare_Water_Blood_Hand_01:Dummy_R_HandFX"
data "CastAnimation" "skill_cast_target_touch_01_cast"
data "CastSelfAnimation" "skill_cast_self_touch_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Voodoo_Cast_Self_Water_Blood_Root_01;RS3_FX_Skills_Voodoo_Cast_Self_Water_Blood_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Voodoo_Cast_Self_Water_Blood_Hand_01:Dummy_R_HandFX"
data "HitEffect" "RS3_FX_Skills_Voodoo_BloodBubble_Impact_01:Dummy_Root"
data "CycleConditions" "Character;!Dead"
